series,phase,order,sentence,answer,base,ja
Series 1,1,1,"Yesterday, the children ___ to be superheroes.",pretended,pretend,ふりをする
Series 1,1,2,Please ___ your shoes before entering the room.,remove,remove,取り除く
Series 1,1,3,She can't ___ the summer heat.,stand,stand,立つ、耐える
Series 1,1,4,The rising prices ___ many families.,concern,concern,心配させる、関係する
Series 1,1,5,I didn't ___ her with her new haircut.,recognize,recognize,認識する、見分ける、認める
Series 1,1,6,The dog likes to ___ holes in the garden.,dig,dig,掘る
Series 1,1,7,The fire ___ quickly through the dry forest.,spread,spread,広げる、広がる
Series 1,1,8,Please don't ___ her while she is studying.,disturb,disturb,邪魔する
Series 1,1,9,"Yesterday, she ___ the difficult question very calmly.",handled,handle,扱う、対処する、手を触れる
Series 1,1,10,Don't ___ water while brushing your teeth.,waste,waste,無駄にする
Series 1,1,11,I will ___ a meeting for next week.,arrange,arrange,手配する、整える
Series 1,1,12,Many people ___ advice before making a big decision.,seek,seek,探し求める
Series 1,1,13,The company currently ___ fresh vegetables to the school.,supplies,supply,供給する
Series 1,1,14,Let's ___ the cake among the four of us.,divide,divide,分ける、割る
Series 1,1,15,We need to ___ early to catch the train.,leave,leave,去る、残す、置き忘れる
Series 1,1,16,Please ___ the guide through the museum.,follow,follow,ついていく、従う
Series 1,1,17,She likes to ___ pictures of animals.,draw,draw,描く、引く
Series 1,1,18,"Last night, snow ___ the entire mountain in white.",covered,cover,覆う、（話題を）扱う
Series 1,1,19,Childhood experiences often ___ our personalities.,shape,shape,形作る
Series 1,1,20,Please ___ seated until the bus stops.,remain,remain,とどまる、～のままである、残る
Series 2,1,1,Please ___ the plastic from the paper waste.,separate,separate,分ける、分離する
Series 2,1,2,"Yesterday, she ___ to finish the report on time.",managed,manage,なんとかやり遂げる、管理する
Series 2,1,3,"Last week, the storm ___ us to cancel the trip.",forced,force,強制する
Series 2,1,4,"If you don't hurry, you'll ___ the bus.",miss,miss,逃す、寂しく思う
Series 2,1,5,This job currently ___ good communication skills.,requires,require,必要とする
Series 2,1,6,A ticket to the concert currently ___ fifty dollars.,costs,cost,（費用が）かかる
Series 2,1,7,This umbrella currently ___ to my sister.,belongs,belong,所属する、～のものである
Series 2,1,8,Can you ___ the man you saw?,describe,describe,描写する、説明する
Series 2,1,9,"These days, she ___ the piano for an hour every day.",practices,practice,練習する
Series 2,1,10,Loud noises ___ me when I'm studying.,bother,bother,悩ます、わざわざ～する
Series 2,1,11,Please don't ___ answers from your classmate.,copy,copy,複写する、まねる
Series 2,1,12,"Last night, he ___ on paying for dinner.",insisted,insist,強く主張する
Series 2,1,13,Be quiet as you ___ the sleeping baby.,approach,approach,近づく
Series 2,1,14,Please ___ me to call the dentist.,remind,remind,思い出させる
Series 2,1,15,The two brothers often ___ about small things.,argue,argue,言い争う、主張する
Series 2,1,16,The band will ___ at the school festival.,perform,perform,行う、演じる
Series 2,1,17,They had to ___ the game because of the rain.,cancel,cancel,中止する、キャンセルする
Series 2,1,18,Washing your hands can ___ illness.,prevent,prevent,防ぐ
Series 2,1,19,Could you help me ___ these boxes?,carry,carry,運ぶ
Series 3,1,1,She hired a ___ to help with her math.,tutor,tutor,家庭教師、個別指導者
Series 3,1,2,He made a good ___ at the interview.,impression,impression,印象
Series 3,1,3,The ambassador lives in an official ___.,residence,residence,住居、邸宅
Series 3,1,4,I downloaded the latest ___ of the app.,version,version,版、バージョン
Series 3,1,5,The ___ takes one year to circle the sun.,earth,earth,地球、大地
Series 3,1,6,Pollution has a serious ___ on the environment.,effect,effect,影響、効果
Series 3,1,7,She passed the exam through hard ___.,effort,effort,努力
Series 3,1,8,The snacks are in the third ___ of the store.,aisle,aisle,通路
Series 3,1,9,Swimming is my favorite weekend ___.,activity,activity,活動
Series 3,1,10,The hero is the most popular ___ in the book.,character,character,性格、登場人物
Series 3,1,11,Children seem to have endless ___.,energy,energy,エネルギー、活力
Series 3,1,12,The ___ of the word is Latin.,origin,origin,起源、由来
Series 3,1,13,She raised an ___ to the new plan.,objection,objection,反対、異議
Series 3,1,14,This is an effective ___ for learning words.,method,method,方法
Series 3,1,15,She kept her many ___ to herself during the meeting.,thoughts,thought,考え、思考
Series 3,1,16,The old house was in a poor ___.,state,state,状態
Series 3,1,17,We enjoyed the beauty of ___ on our hike.,nature,nature,自然、性質
Series 3,1,18,She sent her ___ for the scholarship.,application,application,申し込み、応用、アプリ
Series 3,1,19,The painting has great ___ to collectors.,value,value,価値
Series 3,1,20,The teacher explained the ___ calmly.,situation,situation,状況
Series 4,1,1,Call this number in case of an ___.,emergency,emergency,緊急事態
Series 4,1,2,She deserves ___ for her hard work.,credit,credit,信用、功績、クレジット
Series 4,1,3,The ___ of the lake was perfectly calm.,surface,surface,表面
Series 4,1,4,We asked the waiter for the ___.,bill,bill,請求書、勘定
Series 4,1,5,This is an important ___ we must discuss.,matter,matter,事柄、問題
Series 4,1,6,The clown's tricks were a source of ___.,amusement,amusement,楽しみ、娯楽
Series 4,1,7,The neighbors live together in ___.,harmony,harmony,調和
Series 4,1,8,The hotel room has a beautiful ___ of the sea.,view,view,眺め、見解
Series 4,1,9,The teacher praised the students' good ___.,behavior,behavior,行動、ふるまい
Series 4,1,10,There was a long ___ before she answered.,pause,pause,休止、間
